extension,percentage,total
,0.13525988967292743,299681
dm3,2.70807738240851e-06,6
DS_Store,0.00037867948730678996,839
json,0.03798665278927457,84163
xlsx,0.00017647637608695456,391
doc,2.2567311520070916e-06,5
cif,0.021431273058150544,47483
txt,0.03163756536621782,70096
xyz,0.3756383164063452,832262
chi,2.70807738240851e-06,6
gr,2.2567311520070916e-06,5
md,3.6559044662514884e-05,81
gitignore,0.0003461825587178878,767
ipynb,0.00011644732744356592,258
csv,0.0003430231351050779,760
sdf,0.013989025065061559,30994
pdb,0.000709967620421431,1573
log,0.0004567623851662353,1012
jvxl,2.7983466284887935e-05,62
js,0.0010900011464194251,2415
jpg,0.0003281287095018311,727
html,0.005468510927543584,12116
css,3.6107698432113464e-06,8
out,0.05515315531636211,122197
in,0.0006449737632436268,1429
lammps,0.001456494285505377,3227
lammpstrj,4.513462304014183e-07,1
yml,4.513462304014183e-07,1
py,0.00037597140992438145,833
data,4.513462304014183e-07,1
h5,0.00023063792373512475,511
tdb,2.2567311520070916e-06,5
ang,6.318847225619856e-06,14
m,0.00024598369556877295,545
jmp,9.026924608028366e-07,2
png,0.00033896101903146513,751
pdf,0.00015210367964527797,337
TDB,1.6699810524852476e-05,37
xml,0.08805990628246872,195105
pptx,3.159423612809928e-06,7
dat,0.00044502738317579846,986
exe,5.41615476481702e-06,12
for,4.513462304014183e-07,1
tif,0.09923930106328145,219874
ris,9.026924608028366e-07,2
docx,4.513462304014183e-06,10
inp,0.00031458832258978857,697
f,6.770193456021275e-06,15
sh,0.005776329056677351,12798
eps,2.70807738240851e-06,6
gz,0.00042426545657733324,940
sqlite,4.513462304014183e-07,1
xls,3.2948274819303535e-05,73
7z,4.513462304014183e-07,1
POP,9.929617068831202e-06,22
MOB,9.026924608028366e-07,2
DOP,9.026924608028366e-07,2
TCM,4.513462304014183e-07,1
TIF,0.00010426097922272762,231
qe,1.8053849216056732e-06,4
upf,9.026924608028366e-07,2
gamess,4.513462304014183e-07,1
ncpp,4.513462304014183e-07,1
properties,1.8053849216056732e-06,4
jar,4.4231930579338994e-05,98
