extension,size_percentage,total
,0.03556778815270682,237290251832
dm3,6.089933142792253e-05,406289467
DS_Store,1.5388441398596403e-06,10266388
json,0.0002633947704224407,1757236383
xlsx,8.655685163398931e-05,577463435
doc,1.7319811165975955e-08,115549
cif,1.94968084091217e-05,130072822
txt,0.00014034462698728597,936308205
xyz,0.00011355474076784156,757579665
chi,5.0151442409437256e-08,334585
gr,3.4347034153811165e-08,229146
md,2.451340329985438e-08,163541
gitignore,8.059215458039699e-09,53767
ipynb,9.198995553925186e-06,61371035
csv,8.1694213584808e-05,545022379
sdf,0.0001942180056672796,1295724077
pdb,3.285167638160215e-05,219169731
log,0.00012437695707641258,829780006
jvxl,6.250498894763121e-07,4170016
js,7.404786237995612e-06,49400980
jpg,0.00014459284739967541,964650178
html,0.00011972473099758127,798742712
css,5.637568631173975e-09,37611
out,0.001940230263293357,12944232737
in,1.5958256875525505e-07,1064654
lammps,0.0003029202085238536,2020930069
lammpstrj,0.00018594308766904582,1240518019
yml,7.119845523404426e-11,475
py,4.444802644903314e-07,2965347
data,2.4856476428958028e-06,16582981
h5,0.6301528069846047,4204060078744
tdb,5.391326900103475e-08,359682
ang,0.0003711916558417658,2476402556
m,4.853298910335391e-07,3237875
jmp,1.8748531830721936e-07,1250807
png,0.00019346579563653824,1290705713
pdf,3.934069624695019e-05,262461182
TDB,1.1627502164588353e-07,775728
xml,0.002409026413977839,16071803003
pptx,2.0366380774338964e-05,135874168
dat,4.963028815377667e-05,331108123
exe,1.3752603678117167e-06,9175040
for,4.3018856109833056e-10,2870
tif,0.1238342764883851,826159516223
ris,7.705921228594137e-10,5141
docx,1.2543848767173207e-07,836862
inp,8.082301744513695e-07,5392102
f,3.111447439470085e-08,207580
sh,1.6853341371005204e-06,11243695
eps,7.056276544741776e-07,4707590
gz,0.0004960513921058167,3309403420
sqlite,1.7804710118990973e-08,118784
xls,1.3871941282578506e-05,92546560
7z,1.314628512791828e-06,8770535
POP,1.3478542087485742e-08,89922
